ref_id,title,what_they_did,reported_metric,what_visclick_adds,url
L1,RICO: A Mobile App Dataset for Building Data-Driven Design Applications (Deka et al. UIST 2017),Released 72k Android UI screenshots + view hierarchies — the canonical training source for mobile UI element detection.,72k screens; ~3M individual UI elements,VisClick uses RICO via the Zenodo unified bundle as the source-domain training set; we then fine-tune on Windows desktop screenshots which RICO does not cover.,https://interactionmining.org/rico
L2,VINS: Visual Search for Mobile User Interface Design (Bunian et al. CHI 2021),"Trained an object detector (Faster R-CNN with ResNet-50 backbone) on RICO to localise 11 UI element classes — buttons, text inputs, icons, etc. Showed that detection alone is insufficient for similarity search and proposed a hybrid pipeline.","mAP@.5 ≈ 0.46 on RICO test split for 11-class detection; element-detection F1 ≈ 0.61.","Same family of approach as VisClick (YOLOv8s), but VINS targeted mobile only; VisClick adds Windows desktop fine-tune from auto-labels, an OCR-grounded text fallback for missed boxes, and a working Windows click-bot.",https://dl.acm.org/doi/10.1145/3411764.3445762
L3,Object Detection for Graphical User Interface: Old Fashioned or Deep Learning or a Combination? (Xie et al. FSE 2020 — UIED),"Compared classical computer vision (edge / region detection) against pure deep learning for GUI element extraction. Found neither alone is sufficient: deep learning misses fine icons and dropdown arrows; classical CV misses text-shaped buttons. Proposed UIED — hybrid of OCR (CTPN / EAST) for text + classical / CNN for non-text shapes.","UIED hybrid: F1 = 0.84 on RICO; pure-DL baseline (Faster R-CNN): F1 = 0.71; classical CV alone: F1 = 0.55.","Validates VisClick's design choice to combine YOLO detection with full-image OCR text grounding (added in commit 5x). The 'detector misses Windows 11 Save button but Tesseract finds the word Save' case is exactly UIED's motivating example.",https://dl.acm.org/doi/10.1145/3368089.3409691
L4,CLAY: A Curated Dataset of UI Layouts (Li et al. CHI 2022),"Cleaned and re-labelled RICO's view-hierarchy bounding boxes (which are noisy: many duplicates, overlapping invisible nodes, mis-classified types). Released CLAY with 23 cleaner element classes.","Reduced label noise by 28% relative to RICO raw; reported +5–8 pp mAP gain when training detectors on CLAY vs raw RICO.","VisClick's Phase C uses CLAY's class taxonomy as the seed for the 6-class collapse used in source training. This citation justifies why we did not train directly on raw RICO labels.",https://dl.acm.org/doi/10.1145/3491102.3502042
L5,Screen Recognition: Creating Accessibility Metadata for Mobile Applications from Pixels (Zhang et al. CHI 2021 — Apple),"Apple's production pipeline for the iOS VoiceOver 'Screen Recognition' feature: object detection on the live screen, classifying widgets into 13 types (button, slider, image, etc.) plus OCR. Deployed on hundreds of millions of devices.","Detection: F1 = 0.91 in-distribution, drops to 0.74 on apps the model has never seen. OCR adds 6–11 pp.","Closest existing analogue to VisClick's value proposition. Apple's paper acknowledges the same out-of-distribution drop we observed on Windows native dialogs and uses an OCR fallback for the same reason VisClick does. We report a similar pattern at smaller scale.",https://dl.acm.org/doi/10.1145/3411764.3445186
L6,Widget Captioning: Generating Natural Language Description for Mobile User Interface Elements (Li et al. EMNLP 2020),Pretrained vision-language model that describes individual UI widgets. Establishes that not all clickables are text-labeled — many widgets are icon-only and need visual / spatial reasoning to ground.,BLEU-4 = 0.41 for widget descriptions on a held-out RICO split.,Cited in VisClick's limitations chapter to justify why icon-only clickables (close X / settings cog / dropdown arrows) are an open problem and why we deliberately scope the prototype to text-labeled clickables.,https://aclanthology.org/2020.emnlp-main.443/
L7,SeeClick: Harnessing GUI Grounding for Advanced Visual GUI Agents (Cheng et al. ACL 2024),"Replaces the entire 'object detector + OCR + matcher' stack with a single vision-language model that takes a screenshot + instruction and outputs the click coordinate directly. Trained on a 1M-screenshot corpus including web, desktop and mobile.","Click accuracy 73% on Mind2Web (web), 53% on AITW (mobile), 47% on a new desktop benchmark.","SeeClick is the modern alternative VisClick is consciously NOT using — explained in the dissertation as a deliberate tradeoff: VisClick's approach is interpretable (we can show users the boxes), runs on CPU at ~125 ms, and is reproducible from a single fine-tune notebook.",https://aclanthology.org/2024.acl-long.20/
L8,Pix2Struct: Screenshot Parsing as Pretraining for Visual Language Understanding (Lee et al. ICML 2023),Self-supervised pretraining on screenshot → simplified-HTML pairs. Demonstrates that web-scale screenshot data is a stronger signal for UI understanding than ImageNet.,Improved downstream UI-task accuracy by 4–10 pp across 9 benchmarks.,Cited as the broader trend that motivates VisClick's choice to fine-tune from a UI-pretrained checkpoint rather than ImageNet — but VisClick stays at the object-detection level for runtime efficiency.,https://proceedings.mlr.press/v202/lee23g.html
L9,Pix2Code: Generating Code from a Graphical User Interface Screenshot (Beltramelli IUI 2018),"Early end-to-end model that took a UI screenshot and produced source code. First showed that screenshot understanding is feasible; established the 'detect → describe' pipeline used by VisClick et al.",Token accuracy 77% on a synthetic dataset.,Historical reference establishing the field's direction. VisClick descends from this lineage but specialises to interactive automation rather than code generation.,https://github.com/tonybeltramelli/pix2code
L10,ScreenAI: A Vision-Language Model for UI and Infographics Understanding (Baechler et al. IJCAI 2024 — Google Research),"5B-parameter VLM pretrained on a screenshot corpus an order of magnitude larger than RICO. Demonstrates that UI element diversity is fundamentally a data-scale problem.",SOTA on 4 of 5 UI benchmarks tested.,Cited as evidence that the residual gap on Windows native dialogs in VisClick is well-aligned with the published frontier — the open-source desktop UI corpus simply does not exist at the required scale.,https://arxiv.org/abs/2402.04615
